Date;USDCOP;BRENT
2/12/2020;3530.71;48.25
1/12/2020;3570.65;47.42
30/11/2020;3600.75;47.59
27/11/2020;3613.02;48.18
26/11/2020;3616.85;47.8
25/11/2020;3620.26;48.61
24/11/2020;3639.71;47.86
23/11/2020;3644.82;46.06
20/11/2020;3641.75;44.96
19/11/2020;3649.12;44.2
18/11/2020;3644.92;44.34
17/11/2020;3638.99;43.75
13/11/2020;3639.63;42.78
12/11/2020;3643.18;43.53
11/11/2020;3632.38;43.8
10/11/2020;3628.98;43.61
9/11/2020;3648.6;42.4
6/11/2020;3722.51;39.45
5/11/2020;3764.57;40.93
4/11/2020;3815.03;41.23
3/11/2020;3820.1;39.71
30/10/2020;3870.94;37.46
28/10/2020;3835.55;39.12
27/10/2020;3810.48;41.2
26/10/2020;3814.09;40.46
23/10/2020;3788.34;41.77
22/10/2020;3785.48;42.46
21/10/2020;3768.84;41.73
20/10/2020;3821.65;43.16
19/10/2020;3844.7;42.62
16/10/2020;3849.48;42.93
15/10/2020;3849.49;43.16
14/10/2020;3837.26;43.32
13/10/2020;3862.07;42.45
12/10/2020;3825.98;41.72
9/10/2020;3826.52;42.85
8/10/2020;3839.34;43.34
7/10/2020;3838.6;41.99
6/10/2020;3832.18;42.65
5/10/2020;3830.1;41.29
2/10/2020;3870.82;39.27
1/10/2020;3845.06;40.93
30/09/2020;3829.18;40.95
29/09/2020;3887.49;41.03
28/09/2020;3871.6;42.43
25/09/2020;3887.15;41.92
24/09/2020;3827.5;41.94
23/09/2020;3864.04;41.77
22/09/2020;3828.88;41.72
21/09/2020;3790.18;41.44
18/09/2020;3736.96;43.15
17/09/2020;3715.94;43.3
16/09/2020;3686.93;42.22
15/09/2020;3700.7;40.53
14/09/2020;3698.02;39.61
11/09/2020;3708.25;39.83
10/09/2020;3708.36;40.06
9/09/2020;3715.93;40.79
8/09/2020;3738.2;39.78
4/09/2020;3715.38;42.66
3/09/2020;3693.1;44.07
2/09/2020;3655.3;44.43
1/09/2020;3678.55;45.58
31/08/2020;3741.1;45.28
28/08/2020;3745.28;45.05
27/08/2020;3815.68;45.09
26/08/2020;3835.95;45.64
25/08/2020;3868.18;45.86
24/08/2020;3855.84;45.13
21/08/2020;3837.7;44.35
20/08/2020;3803.35;44.9
19/08/2020;3758.04;45.37
18/08/2020;3782.8;45.46
14/08/2020;3792.27;44.8
13/08/2020;3771.45;44.96
12/08/2020;3758.25;45.43
11/08/2020;3741.4;44.5
10/08/2020;3774.4;44.99
7/08/2020;3772.64;44.4
6/08/2020;3741.5;45.09
5/08/2020;3776.23;45.17
4/08/2020;3780.49;44.43
3/08/2020;3768.9;44.15
31/07/2020;3732.83;43.3
30/07/2020;3723.53;42.94
29/07/2020;3705.97;43.75
28/07/2020;3724.9;43.22
27/07/2020;3677.7;43.41
24/07/2020;3693.28;43.34
23/07/2020;3668.45;43.31
22/07/2020;3638.07;44.29
21/07/2020;3623.19;44.32
17/07/2020;3650.9;43.14
16/07/2020;3643.07;43.37
15/07/2020;3623.2;43.79
14/07/2020;3623.05;42.9
13/07/2020;3620.45;42.72
10/07/2020;3621.61;43.24
9/07/2020;3622.75;42.35
8/07/2020;3641.33;43.29
7/07/2020;3625.61;43.08
6/07/2020;3637.19;43.1
3/07/2020;3651.68;42.8
2/07/2020;3642.8;43.14
1/07/2020;3715.55;42.03
30/06/2020;3757.75;41.15
26/06/2020;3750.17;41.02
25/06/2020;3731.52;41.05
24/06/2020;3727.45;40.31
23/06/2020;3699.63;42.63
19/06/2020;3740.7;42.19
18/06/2020;3753.15;41.51
17/06/2020;3748.91;40.71
16/06/2020;3749.55;40.96
12/06/2020;3779.15;38.73
11/06/2020;3774.11;38.55
10/06/2020;3673.38;41.73
9/06/2020;3657.38;41.18
8/06/2020;3607.38;40.8
5/06/2020;3575.13;42.3
4/06/2020;3590.75;39.99
3/06/2020;3606.95;39.79
2/06/2020;3636.63;39.57
1/06/2020;3718.97;38.32
29/05/2020;3732;35.33
28/05/2020;3699.4;35.29
27/05/2020;3733.65;34.74
26/05/2020;3727.77;36.17
22/05/2020;3780.68;35.13
21/05/2020;3769.55;36.06
20/05/2020;3814.7;35.75
19/05/2020;3834.55;34.65
18/05/2020;3852.52;34.81
15/05/2020;3914.45;32.5
14/05/2020;3942.82;31.13
13/05/2020;3912.86;29.19
12/05/2020;3881.85;29.98
11/05/2020;3898.13;29.63
8/05/2020;3893.9;30.97
7/05/2020;3924.38;29.46
6/05/2020;3965.09;29.72
5/05/2020;3933.23;30.97
4/05/2020;3988.38;27.2
30/04/2020;3942.86;25.27
29/04/2020;3924.3;22.54
28/04/2020;4042.31;20.46
27/04/2020;4060.55;19.99
24/04/2020;4043.2;21.44
23/04/2020;4022.77;21.33
22/04/2020;4032.16;20.37
21/04/2020;4047.6;19.33
20/04/2020;3977.8;25.57
17/04/2020;3940.98;28.08
16/04/2020;3931.11;27.82
15/04/2020;3892.78;27.69
14/04/2020;3854.08;29.6
13/04/2020;3871.75;31.74
8/04/2020;3895.2;32.84
7/04/2020;3910.77;31.87
